trial,score,vs_greedy_ts_score,rl_ts_service_rate,rl_ts_mean_wait,rl_ts_mean_wait_all,rl_ts_p95_wait,rl_ts_mean_ride,rl_ts_rejected,rl_ts_improvements,sa_service_rate,sa_mean_wait,w_wait,w_rejection,w_imbalance,lr_start,gamma,ent_coef,train_time_s
16,10.935,-5.397,0.817,4.84,10.16,15.48,8.13,34.9,140.6,0.8679,10.5172,1.441131443379796,6.415337641579509,0.6803122358216965,0.00014958846256701446,0.9930020621065809,0.01746762693061678,427.8
17,10.952,-5.381,0.8198,4.86,10.16,15.92,8.11,34.9,132.2,0.8666,9.7432,2.614599252981137,5.454368454199304,0.5337190281631665,0.00011831471238489481,0.9953274264329841,0.013707912825345607,467.0
29,10.994,-5.339,0.8135,4.85,10.21,15.71,8.09,35.0,140.6,0.8653,10.3002,2.230960982053222,5.3548126196375,0.47111718542731723,0.00016837940491706285,0.9903747360201104,0.021229297383766416,398.5
6,11.004,-5.329,0.8097,4.86,10.24,15.25,8.09,35.0,135.4,0.8598,10.3406,2.6648852816008435,5.061695553391381,0.22727747704497045,0.00012894975389587306,0.9921296957007167,0.02326960468194963,379.4
5,11.032,-5.3,0.8125,4.93,10.26,15.35,8.13,34.9,144.5,0.8626,10.7338,1.116167224336399,8.330880728874675,0.5207805082202462,0.00026687148364280106,0.9901440914600707,0.04763628595029446,387.5
26,11.034,-5.298,0.8132,4.94,10.26,15.43,8.11,34.8,146.0,0.8639,10.2248,2.4725861759772165,7.5014391662489714,0.7150549481277488,0.00018174870150147182,0.9936405618216799,0.01497629702793229,427.6
2,11.366,-4.966,0.8052,3.97,10.69,13.44,7.95,43.9,115.9,0.8236,6.783,1.8,3.22,0.22,0.0003,0.9937,0.021,399.2
9,11.513,-4.819,0.8139,5.36,10.7,16.36,8.19,35.2,156.3,0.8637,12.5194,1.139172870951142,5.193871027789859,0.778675977551506,0.00010252130522858487,0.9961995943343446,0.03636751656639548,392.5
11,11.599,-4.734,0.8215,5.53,10.75,16.99,8.12,34.8,151.6,0.8666,11.174,1.469775199977469,4.383879211979416,0.4242884922583529,0.00010291808355458275,0.9968850553515302,0.014199502235856427,391.7
20,12.564,-3.769,0.7778,3.18,12.01,11.01,7.89,57.3,95.4,0.812,6.3305,2.7030347723801134,4.510458580365912,0.36414090594304155,0.0003494013863074425,0.9916214971009785,0.032122476946532696,393.1
